id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1,70,249126,FALSE,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-5,0.154,0.345,90.076,4,pop
2,90,298933,FALSE,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,rock
3,89,174000,FALSE,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,pop
4,3,269186,FALSE,0.773,0.82,0,-5.897,0,0.115,0.394,0,0.0739,0.555,92.996,4,pop
5,39,162400,FALSE,0.603,0.649,10,-7.006,1,0.104,0.463,0,0.101,0.957,93.781,4,jazz
6,0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,pop
7,72,197759,FALSE,0.636,0.647,0,-6.97,0,0.0436,0.422,0,0.251,0.44,105.914,4,pop
8,5,265186,FALSE,0.641,0.346,0,-9.508,1,0.036,0.913,3.99e-5,0.104,0.187,122.101,4,pop
9,40,124253,FALSE,0.729,0.216,0,-10.865,1,0.0795,0.735,0,0.0615,0.755,129.851,4,jazz
10,77,219801,FALSE,0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4,rock
11,73,298986,FALSE,0.662,0.4,2,-11.2,1,0.0548,0.735,1.65e-5,0.0863,0.617,79.972,4,pop
12,0,210639,FALSE,0.392,0.496,7,-7.632,1,0.114,0.664,1.14e-4,0.34,0.589,72.024,4,rock
13,80,228360,FALSE,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,4,rock
14,0,219720,FALSE,0.619,0.696,7,-6.263,0,0.0315,1.93e-5,0.00555,0.38,0.727,125.984,4,rock
15,66,149460,FALSE,0.51,0.407,1,-9.671,1,0.0334,0.628,1.73e-6,0.12,0.22,120.085,4,pop
16,0,307440,FALSE,0.252,0.738,7,-5.326,1,0.0446,0.0145,4.97e-4,0.375,0.256,165.187,4,rock
17,3,168839,FALSE,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,pop
18,0,109453,FALSE,0.418,0.307,2,-10.296,1,0.0275,0.721,0,0.133,0.332,105.515,4,jazz
19,1,175021,FALSE,0.428,0.414,7,-5.729,0,0.0403,0.897,0,0.238,0.508,79.108,4,jazz
20,75,211578,FALSE,0.676,0.696,9,-6.68,1,0.0452,0.666,0,0.0931,0.606,94.945,4,pop
21,0,115506,FALSE,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-6,0.154,0.69,192.76,3,jazz
22,69,309457,FALSE,0.55,0.488,6,-8.059,1,0.0284,0.718,1.18e-4,0.126,0.301,136.025,3,pop
23,0,176699,FALSE,0.568,0.505,0,-8.041,1,0.128,0.676,1.67e-5,0.516,0.692,149.439,4,jazz
24,65,240169,FALSE,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-6,0.112,0.619,149.929,4,pop
25,73,288036,FALSE,0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42e-5,0.108,0.1,173.008,4,rock
26,0,125613,FALSE,0.758,0.451,6,-8.001,1,0.0375,0.75,0,0.0503,0.737,122.912,4,jazz
27,38,181800,FALSE,0.624,0.296,0,-17.159,1,0.0585,0.93,0.108,0.128,0.854,100.481,4,jazz
28,1,322613,FALSE,0.411,0.767,3,-4.211,1,0.056,6.21e-4,0.00842,0.134,0.659,134.408,4,rock
29,67,180413,FALSE,0.595,0.817,11,-6.187,0,0.0474,7.12e-4,0.0386,0.142,0.483,144.961,4,pop
30,0,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,1.35e-4,0.136,0.141,107.269,3,jazz
31,72,232513,FALSE,0.502,0.425,6,-12.018,0,0.0413,0.664,0,0.364,0.72,180.2,3,pop
32,64,208440,FALSE,0.504,0.364,1,-9.277,0,0.03,0.893,7.88e-5,0.0904,0.365,149.819,4,pop
33,0,210520,FALSE,0.611,0.509,9,-9.382,1,0.127,0.69,2.64e-6,0.0855,0.425,90.168,4,rock
34,0,166666,FALSE,0.759,0.451,5,-9.136,1,0.0471,0.611,0,0.263,0.679,112.099,4,rock
35,81,217746,FALSE,0.468,0.779,9,-4.839,1,0.0779,0.112,3.73e-4,0.101,0.26,173.799,4,pop
36,68,352710,FALSE,0.261,0.603,0,-6.733,1,0.0367,0.558,0,0.184,0.207,158.125,4,pop
37,0,168146,FALSE,0.258,0.175,0,-11.903,1,0.0323,0.939,1.56e-4,0.136,0.107,89.072,3,jazz
38,0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-5,0.138,0.208,73.196,5,jazz
39,69,262986,FALSE,0.329,0.45,2,-6.312,0,0.0405,0.594,0,0.13,0.284,80.095,4,pop
